provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos Aires,25 DE MAYO,Estatal,Rural, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,1°, , , , , , ,83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,10°, , , , , , , , , , , , , , ,3,54,8,2,2,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,11°, , , , , , , , , , , , , , , , ,44,4,6,8, , , , , , , , , , , , , , , , ,2, 
Buenos Aires,25 DE MAYO,Estatal,Rural,12°, , , , , , , , , , , , , , , , ,2,40,12,1, , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,2°, , , , , , , ,94,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,3°, , , , , , , , ,99,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,4°, , , , , , , , , ,99,1, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,5°, , , , , , , , , , ,105,6, ,1, , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,6°, , , , , , , , , , , ,106,9,1, , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,7°, , , , , , , , , , , , ,54,4,1, , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,8°, , , , , , , , , , , , ,1,53,9,1,2, , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,9°, , , , , , , , , , , , , ,1,51,6,4, ,1, , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 2, , ,59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 3, , , ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 4, , , , ,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Rural,Sala de 5, , , , , ,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,1°, , , , , , ,319, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,10°, , , , , , , , , , , , , , , ,313,54,20,4, , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,11°, , , , , , , , , , , , , , , , ,275,68,21,13, , , , , , , , , , , , , , , , ,5, 
Buenos Aires,25 DE MAYO,Estatal,Urbano,12°, , , , , , , , , , , , , , , , , ,204,53,18, , , , , , , , , , , , , , , , ,8, 
Buenos Aires,25 DE MAYO,Estatal,Urbano,13°/14°, , , , , , , , , , , , , , , , , , ,21,6, , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,2°, , , , , , ,2,357,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,3°, , , , , , , , ,307,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,4°, , , , , , , , ,3,309,15,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,5°, , , , , , , , , , ,291,17,1, , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,25 DE MAYO,Estatal,Urbano,6°, , , , , , , , , , , ,287,28,3, , , , , , , , , , , , , , , , , , , , , , , , 
