provincia,departamento,sector,ambito,lactantes,deambulantes,s2,s3,s4,s5,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_1314,_snu,v_lactantes,v_deambulantes,v_s2,v_s3,v_s4,v_s5,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_1314,v_snu,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_1314,s_lactantes,s_deambulantes,s_s2,s_s3,s_s4,s_s5,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_1314,_seclactantes,_secdeambu,_secs2,_secs3,_secs4,_secs5,_sec1,_sec2,_sec3,_sec4,_sec5,_sec6,_sec7,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314,multi_ini,multi_pri,multi_sec,multinivel
Buenos Aires,25 DE MAYO,Estatal,Rural, , ,59,56,68,75,83,96,103,100,112,116,59,66,63,70,64,55, , , , ,26,36,31,37,44,49,52,60,57,55,25,33,29,39,36,30, , ,0,2,4,1,7,10,3,5,6,10,14,1, , , , , , , , ,2,4,1,7,10,5,12,11,13,20,13, ,0,0,3,2,2,4,5,4,4,5,5,5,4,4,4,5,6,6,0,11,32,1,0
Buenos Aires,25 DE MAYO,Estatal,Urbano,51,111,272,327,365,334,319,360,323,328,309,318,409,367,350,391,382,283,27,636,29,69,151,158,192,184,155,188,162,161,159,168,221,192,172,201,176,122,21,130,0,1,14,10,10,25,28,19,28,39,48,34,0, , , ,1, , , ,1,16,16,18,31,75,49,67,78,107,79,6,7,9,15,12,12,13,16,15,15,15,15,15,18,16,15,17,17,17,3,19,7, ,0
Buenos Aires,25 DE MAYO,Privado,Urbano, , , ,115,121,118,147,141,141,152,136,138,137,131,113,118,132,119, , , , , ,60,55,55,77,66,74,84,74,59,54,61,41,49,62,43, , ,0,0,3,4,2,4,2,2,5,7,5,1, , , , , , , , , ,3,4,2,5,4,6,10,12,11,10, ,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,0,0,0, ,0
Buenos Aires,9 DE JULIO,Estatal,Rural, , ,49,92,93,115,75,126,154,121,105,123,110,102,103,121,96,111,9, , , ,30,50,46,68,43,67,83,62,52,58,53,58,52,62,47,42,4, ,0,1,7,7,5,4,2,6,2,7,12,22,2, , , ,1, , , ,2,8,11,6,5,13,9,11,23,20,32,4,0,0,2,0,0,2,4,4,6,4,3,5,10,7,7,7,7,6,1,23,29,4,0
Buenos Aires,9 DE JULIO,Estatal,Urbano, , ,55,403,503,516,521,534,532,520,522,529,610,576,605,586,556,434,91,955, , ,25,190,234,243,251,269,251,273,264,268,305,301,308,273,278,194,50,278,0,4,12,18,27,35,12,30,30,41,32,13,0, , , , , , , ,4,12,21,28,35,97,139,136,170,192,121,7,0,0,3,16,16,20,23,23,24,24,23,23,28,27,25,28,27,23,4,18,0, ,0
Buenos Aires,9 DE JULIO,Privado,Urbano, , , ,149,138,156,155,169,163,160,164,170,138,130,137,150,148,146, , , , , ,65,75,74,80,76,69,73,74,75,62,51,75,60,64,68, , ,0,0,0,0,0,2,1,2,4,1,2,1, , , , , , , , , , , ,1,2,1,3,6,1,5,4, ,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0, ,0
Buenos Aires,ADOLFO ALSINA,Estatal,Rural, , ,26,41,43,43,44,40,56,46,56,26,28,37,47,39,42,28, , , , ,12,16,18,20,21,18,27,22,30,18,16,25,25,19,12,11, , ,0,0,3,3,1,3,1,2,5,3,5,0, , , , , , , , , ,3,3,1,3,2,4,8,7,6,1, ,0,0,1,1,0,0,1,1,1,1,2,1,3,3,3,4,3,3,0,13,14, ,0
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano, ,3,99,139,169,169,150,165,160,152,158,150,180,169,148,190,164,127,44, , ,2,58,76,89,95,76,90,81,82,75,75,100,99,75,100,85,67,30, ,0,4,6,5,8,8,4,14,11,12,11,1,2, , , , , , , ,4,9,11,13,13,24,34,24,29,33,16,6,0,1,6,5,4,5,7,8,8,8,8,7,9,10,8,10,9,9,3,9,3,2,0
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural, , ,28,32,42,36,46,49,51,49,42,44,46,51,40,33,52,44,8, , , ,9,16,19,22,20,25,23,25,25,21,18,20,19,22,28,24,4, ,0,1,2,5,1,0,2,8,9,6,5,5,3, , , , , , , ,1,2,5,1, ,5,12,10,7,11,8,3,0,0,1,1,1,2,2,2,1,1,1,1,4,3,3,4,4,4,1,7,12,1,0
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano, ,2,98,120,111,116,106,114,111,101,87,88,43,61,69,58,58,61,12,164, ,2,49,49,57,56,56,54,43,54,42,57,23,34,33,32,36,25,12,5,0,2,2,1,3,0,0,3,14,13,15,5,2, , ,13,21,21,21, ,2,2,1,3, ,4,9,25,25,37,34,2,0,0,6,6,5,6,5,5,4,5,5,4,3,4,4,5,5,5,1,6,2, ,0
