provincia,departamento,sector,ambito,lactantes,deambulantes,s2,s3,s4,s5,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_1314,_20,_snu,v_lactantes,v_deambulantes,v_s2,v_s3,v_s4,v_s5,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_1314,v_20,v_snu,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_1314,r_20,s_lactantes,s_deambulantes,s_s2,s_s3,s_s4,s_s5,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_1314,_seclactantes,_secdeambu,_secs2,_secs3,_secs4,_secs5,_sec1,_sec2,_sec3,_sec4,_sec5,_sec6,_sec7,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314,_sec20,multi_ini,multi_pri,multi_sec,multinivel
Buenos Aires,25 DE MAYO,Estatal,Rural, , ,38,73,63,73,96,93,95,103,107,103,117,110,126,120,101,88, , , , , ,24,41,38,32,52,53,52,51,67,53,58,59,71,66,63,57, , , ,0,5,3,3,5,2,1,4,7,7,8,0, , , , , , , , , ,5,4,6,10,5,13,11,23,21,16,3, ,0,0,3,3,2,2,5,4,5,5,5,6,6,6,6,7,7,8,0,0,11,31,1,0
Buenos Aires,25 DE MAYO,Estatal,Urbano,49,90,300,272,352,353,291,341,362,318,317,307,427,400,358,349,364,260,33, ,602,22,46,159,140,181,180,162,156,183,160,155,152,226,215,180,181,188,108,28, ,124,0,15,9,14,8,3,36,35,34,33,25,11,0, , , , , , , , ,16,13,15,18,18,135,77,57,91,88,42,6,7,8,17,12,14,13,16,15,15,16,15,15,18,16,15,17,18,16,3,0,16,7, ,0
Buenos Aires,25 DE MAYO,Privado,Urbano, , , ,110,119,124,138,147,142,136,152,132,129,137,129,108,109,125, , , , , , ,64,62,57,60,75,66,72,85,72,50,53,58,42,46,58, , , ,0,0,3,2,1,0,0,3,8,5,3,3, , , , , , , , , , ,3,4,1, ,5,7,13,12,9,7, ,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,0,0,0,0, ,0
Buenos Aires,9 DE JULIO,Estatal,Rural, , ,24,95,94,94,118,84,133,142,119,109,108,110,99,102,107,88,9, , , , ,12,52,51,44,64,45,74,74,62,57,52,52,57,50,48,44,4, , ,0,3,7,4,3,2,7,5,7,9,6,3,1, , , , , , , , ,4,9,5,8,3,17,12,12,19,14,15,3,0,0,2,0,0,0,5,3,5,5,4,5,11,7,7,7,7,7,1,0,24,28,6,0
Buenos Aires,9 DE JULIO,Estatal,Urbano, , ,72,410,422,498,506,533,542,513,516,506,572,642,551,590,507,469,96,15,777, , ,31,210,204,236,247,255,279,242,275,259,266,336,282,314,243,232,50,7,218,0,19,26,11,2,0,15,53,63,65,61,28,0,0, , , , , , , ,20,26,12,13,14,65,147,146,141,138,136,7,0,0,4,17,14,20,23,24,24,25,24,23,27,26,25,28,27,26,6,1,21,0, ,0
Buenos Aires,9 DE JULIO,Privado,Urbano, , , ,137,152,140,162,153,168,163,161,162,161,135,134,133,147,146, , , , , , ,76,65,74,74,80,73,70,75,74,75,62,51,74,60,59, , , ,0,0,1,0,0,0,0,1,4,2,2,0, , , , , , , , , , ,1,1, , , ,2,5,5,4,4, ,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0, ,0
Buenos Aires,ADOLFO ALSINA,Estatal,Rural, , ,31,29,40,36,41,44,38,58,47,54,24,28,33,43,36,36, , , , , ,17,14,12,17,21,24,19,31,24,28,17,15,21,20,18,9, , , ,0,2,3,2,1,1,1,4,4,3,4,0, , , , , , , , , ,3,3,5,2,1,3,5,5,6,8,4, ,0,0,1,1,2,0,1,1,1,1,1,2,3,3,3,4,4,3,0,0,11,15, ,0
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,2,6,114,127,152,167,157,160,167,156,146,158,185,205,159,151,174,137,38,15, ,0,3,54,81,74,84,90,82,89,76,77,74,102,114,89,83,87,66,21,11, ,0,7,6,8,8,7,4,15,11,20,16,3,0,0, , , , , , , ,7,9,10,11,10,24,39,26,44,29,21,6,0,0,7,5,4,5,7,7,8,8,8,8,10,10,8,10,9,10,3,1,10,3,2,0
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,1,2,20,32,34,42,40,49,46,47,43,43,47,45,48,41,28,43,8, , ,0,0,10,10,16,19,26,23,25,19,21,25,25,16,18,19,14,22,5, , ,0,0,1,1,3,1,4,2,4,5,2,1,0, , , , , , , , , ,1,1,3,1,8,6,10,8,5,5,1,0,0,2,0,1,2,2,1,3,1,1,1,4,2,2,4,4,5,1,0,8,11,2,0
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,2,5,91,97,118,105,103,117,118,113,105,92,47,57,78,66,60,43,10, ,190,0,5,53,47,50,57,54,63,56,60,54,44,29,30,48,33,30,27,7, ,7,0,1,3,3,1,0,0,3,2,0,0,0,2, , , ,4, , ,7, ,1,4,5,3,2,10,19,31,20,25,9,3,0,0,6,5,6,6,5,5,6,5,4,5,3,4,4,5,5,5,1,0,6,2, ,0
