provincia,departamento,sector,ambito,localizacion,lactantes,deambulantes,s2,s3,s4,s5,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_1314,_20,_snu,v_lactantes,v_deambulantes,v_s2,v_s3,v_s4,v_s5,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_1314,v_20,v_snu,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_1314,r_20,s_lactantes,s_deambulantes,s_s2,s_s3,s_s4,s_s5,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_1314,_seclactantes,_secdeambu,_secs2,_secs3,_secs4,_secs5,_sec1,_sec2,_sec3,_sec4,_sec5,_sec6,_sec7,_sec8,_sec9,_sec10,_sec11,_sec12,_sec1314,_sec20,multi_ini,multi_pri,multi_sec,multinivel
Buenos Aires,25 DE MAYO,Estatal,Rural,49, , ,51,50,60,64,82,106,90,94,96,101,119,121,114,115,108,88, , , , , ,16,24,34,38,39,55,50,55,52,61,61,63,60,68,58,56, , , ,0,3,5,6,1,1,2,9,11,5,5,0, , , , , , , , ,2,4,7,7,4,5,18,20,20,12,18,7, ,0,0,3,2,5,2,5,4,4,7,5,5,7,7,6,7,7,7,0,0,12,31, ,0
Buenos Aires,25 DE MAYO,Estatal,Urbano,43,33,105,274,303,280,352,316,318,330,360,315,319,397,381,371,358,310,278,33, ,734,18,51,147,162,151,175,164,179,152,184,158,160,209,202,176,175,142,138,24, ,163,0,19,12,7,13,15,51,53,44,60,45,2,0, , , , , , , ,1,19,14,8,13,15,134,100,79,82,77,34,7,5,10,17,16,12,15,16,16,16,16,16,15,18,16,16,17,17,16,3,0,14,6, ,0
Buenos Aires,25 DE MAYO,Privado,Urbano,9, , , ,105,119,123,138,136,144,142,130,149,129,135,134,118,104,106, , , , , , ,65,67,66,67,60,74,67,68,84,68,52,55,54,41,43, , , ,0,2,2,2,1,0,0,5,7,2,1,0, , , , , , , , , ,2,2,2,1, ,1,13,13,10,9,6, ,0,0,0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,0,0,0,0, ,0
Buenos Aires,9 DE JULIO,Estatal,Rural,50, , ,39,61,91,92,92,120,92,138,132,118,107,110,107,98,81,100,10, , , , ,25,29,48,50,41,66,49,84,67,60,56,57,49,58,39,52,5, , ,0,2,5,3,5,1,2,9,1,12,5,0,0, , , , , , , , ,2,6,8,6,4,14,21,9,22,13,14,3,0,0,0,1,1,2,3,3,6,6,4,5,11,7,7,7,7,7,1,0,22,28,6,0
Buenos Aires,9 DE JULIO,Estatal,Urbano,36, , ,177,329,402,428,480,511,528,524,518,511,526,622,592,528,489,411,127,15,826, , ,91,143,216,210,228,251,241,264,244,262,274,318,307,272,250,193,83,11,224,0,5,16,11,8,5,15,46,48,39,25,2,0,0, , , , , , , ,5,17,12,8,6,88,181,129,146,94,94,15,0,0,8,15,16,20,23,24,24,24,25,24,27,26,25,28,27,26,6,0,19,0, ,0
Buenos Aires,9 DE JULIO,Privado,Urbano,8, , , ,113,142,154,149,163,155,168,165,158,155,162,141,135,129,142, , , , , , ,47,75,63,80,74,80,75,70,74,66,77,66,56,68,58, , , ,0,1,0,1,0,0,0,1,2,5,3,0, , , , , , , , , ,1, ,1, , , ,3,5,9,5,2, ,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0, ,0
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,27, , ,25,46,29,38,41,41,40,39,58,44,41,26,27,28,36,33, , , , , ,16,27,15,13,23,21,19,15,31,22,23,15,16,16,15,18, , , ,0,4,1,0,2,0,1,5,3,3,0,0, , , , , , , , , ,4,3,3,7,1,2,7,5,4,3,3, ,0,0,1,1,0,0,1,1,1,1,2,1,2,2,2,4,4,4,0,0,13,15,1,0
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,18,4,4,89,143,125,150,155,165,159,168,167,145,190,197,201,156,149,140,35,14, ,3,3,40,74,67,79,80,94,76,92,81,74,86,115,103,87,88,60,22,11, ,0,5,6,8,6,1,9,20,17,22,21,0,0,0, , , , , , , ,5,7,12,11,4,25,42,43,33,42,15,2,0,0,6,5,5,5,7,7,8,8,8,8,10,10,8,10,9,10,3,0,10,3,2,0
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Rural,21, , ,18,28,27,37,38,34,45,42,44,42,42,46,51,50,32,23,6, , , , ,11,14,8,17,24,20,21,23,20,21,26,25,22,19,12,12,2, , ,0,0,1,0,1,0,2,2,1,3,2,0,0, , , , , , , , , ,1, ,1,2,3,4,2,5,4,1,2,0,0,1,0,1,3,1,1,1,2,1,1,4,4,4,4,4,4,1,0,8,11, ,0
Buenos Aires,ADOLFO GONZALES CHAVES,Estatal,Urbano,13, ,1,81,91,100,118,105,104,117,120,116,108,54,53,73,82,53,37,5,15,170, ,0,41,48,50,50,56,48,64,56,58,58,31,33,36,50,21,18,5,11,29,0,1,0,0,0,0,3,2,2,5,12,0,0,0, , , , , , , ,1, , , , ,17,14,13,24,20,8, ,0,0,6,5,6,6,5,5,6,5,4,6,3,4,4,4,5,5,1,0,6,2, ,0
